split,seed,model,n,positives,prevalence,average_precision,roc_auc,precision_at_20,brier_score,validation_ap,seconds,trainable_parameters,checkpoint_reload_verified
random,101,prior,229,12,0.0524017467248908,0.0524017467248908,0.5,0.0524017467248908,0.049656166552075,0.0524017467248908,0.0047940830700099,0.0,False
random,101,forest,229,12,0.0524017467248908,0.8994234800838574,0.982910906298003,0.55,0.0164070567685589,0.6400431234085492,2.0455660830484703,,True
random,101,compact,229,12,0.0524017467248908,0.3617845214623401,0.7588325652841783,0.3,0.0430056583144474,0.2983847939914116,5.263939917087555,18177.0,True
random,101,chemprop,229,12,0.0524017467248908,0.8202747584541065,0.9612135176651306,0.45,0.0227405666114583,0.766910598490642,100.52032595791388,414901.0,True
random,202,prior,229,12,0.0524017467248908,0.0524017467248908,0.5,0.0524017467248908,0.049656166552075,0.0524017467248908,0.0029756668955087,0.0,False
random,202,forest,229,12,0.0524017467248908,0.5203702028361448,0.8450460829493088,0.3,0.0345890480349345,0.5529784710819193,1.9636288749752568,,True
random,202,compact,229,12,0.0524017467248908,0.2360731566211837,0.6159754224270353,0.25,0.0472747830336861,0.253671322880806,4.650754707981832,18177.0,True
random,202,chemprop,229,12,0.0524017467248908,0.572572296230571,0.7665130568356375,0.4,0.0319921480534091,0.6932111576006925,104.41694933304098,414901.0,True
random,303,prior,229,12,0.0524017467248908,0.0524017467248908,0.5,0.0524017467248908,0.049656166552075,0.0524017467248908,0.0022046669619157,0.0,False
random,303,forest,229,12,0.0524017467248908,0.7352917143592221,0.901689708141321,0.4,0.0234880524017467,0.6108860429693764,1.9619109579361975,,True
random,303,compact,229,12,0.0524017467248908,0.2048112462777445,0.7342549923195085,0.25,0.0464567513416834,0.2550924748227165,4.55505270906724,18177.0,True
random,303,chemprop,229,12,0.0524017467248908,0.7566227175602177,0.9738863287250384,0.5,0.0248941095207955,0.553805052450451,108.64667116699276,414901.0,True
random,404,prior,229,12,0.0524017467248908,0.0524017467248908,0.5,0.0524017467248908,0.049656166552075,0.0524017467248908,0.0024189159739762,0.0,False
random,404,forest,229,12,0.0524017467248908,0.6819713633932939,0.9141705069124424,0.4,0.0255049082969432,0.6631639640411571,2.114845500094816,,True
random,404,compact,229,12,0.0524017467248908,0.4448448616666904,0.8924731182795699,0.5,0.0414826294364399,0.40905837288308,4.582080791937187,18177.0,True
random,404,chemprop,229,12,0.0524017467248908,0.7152378258995907,0.9216589861751152,0.45,0.024354644985162,0.6054000848765164,104.99269124993587,414901.0,True
random,505,prior,229,12,0.0524017467248908,0.0524017467248908,0.5,0.0524017467248908,0.049656166552075,0.0524017467248908,0.0022600409574806,0.0,False
random,505,forest,229,12,0.0524017467248908,0.7417135268263767,0.885752688172043,0.45,0.0240773100436681,0.7060700781304451,2.1922552910400555,,True
random,505,compact,229,12,0.0524017467248908,0.302565933888712,0.7196620583717357,0.35,0.0449611296687566,0.3294736114378943,4.524461791035719,18177.0,True
random,505,chemprop,229,12,0.0524017467248908,0.7486607181880961,0.8344854070660523,0.45,0.0227709187305656,0.711697320676194,102.69923620892224,414901.0,True
scaffold,101,prior,229,12,0.0524017467248908,0.0524017467248908,0.5,0.0524017467248908,0.049656166552075,0.0524017467248908,0.0021932909730821,0.0,False
scaffold,101,forest,229,12,0.0524017467248908,0.794142933593932,0.9738863287250386,0.45,0.0228506375545851,0.7378646594015654,2.0829114579828456,,True
scaffold,101,compact,229,12,0.0524017467248908,0.2250730954019261,0.8275729646697388,0.3,0.0455822033241784,0.365601134162497,4.554917875095271,18177.0,True
scaffold,101,chemprop,229,12,0.0524017467248908,0.7877747328169195,0.96889400921659,0.45,0.0329166138191338,0.7099716823339336,96.73251150001306,414901.0,True
scaffold,202,prior,229,12,0.0524017467248908,0.0524017467248908,0.5,0.0524017467248908,0.049656166552075,0.0524017467248908,0.0024208329850807,0.0,False
scaffold,202,forest,229,12,0.0524017467248908,0.7845365418894831,0.94105222734255,0.5,0.0217524890829694,0.4392100338852818,2.011594707961194,,True
scaffold,202,compact,229,12,0.0524017467248908,0.1188756495162778,0.674731182795699,0.1,0.0487770836758379,0.2758191082070636,4.388618209050037,18177.0,True
scaffold,202,chemprop,229,12,0.0524017467248908,0.7571068474601084,0.912442396313364,0.45,0.0238014543089305,0.4195137772119479,96.86739408306312,414901.0,True
scaffold,303,prior,229,12,0.0524017467248908,0.0524017467248908,0.5,0.0524017467248908,0.049656166552075,0.0524017467248908,0.0021363750565797,0.0,False
scaffold,303,forest,229,12,0.0524017467248908,0.7603016359918201,0.8897849462365591,0.45,0.022212174672489,0.8460613529781028,2.0317272919928655,,True
scaffold,303,compact,229,12,0.0524017467248908,0.3812027362171603,0.880568356374808,0.35,0.0421341774159104,0.2061873017542929,4.402235792018473,18177.0,True
scaffold,303,chemprop,229,12,0.0524017467248908,0.8097813238770687,0.9642857142857144,0.45,0.019751395980429,0.8434375198526144,104.05460395896807,414901.0,True
scaffold,404,prior,229,12,0.0524017467248908,0.0524017467248908,0.5,0.0524017467248908,0.049656166552075,0.0524017467248908,0.0020910419989377,0.0,False
scaffold,404,forest,229,12,0.0524017467248908,0.7997598162071847,0.945468509984639,0.5,0.0239921921397379,0.3388629675692168,1.9505607499741016,,True
scaffold,404,compact,229,12,0.0524017467248908,0.2456858517808237,0.8886328725038403,0.2,0.047013836734785,0.1723182535182238,4.524399709072895,18177.0,True
scaffold,404,chemprop,229,12,0.0524017467248908,0.7382747970983266,0.9539170506912442,0.5,0.0249555500843508,0.4208797949352221,112.37404045800211,414901.0,True
scaffold,505,prior,229,12,0.0524017467248908,0.0524017467248908,0.5,0.0524017467248908,0.049656166552075,0.0524017467248908,0.0021635829471051,0.0,False
scaffold,505,forest,229,12,0.0524017467248908,0.589423076923077,0.9109062980030722,0.35,0.0329970480349345,0.6990162037037038,2.026399084017612,,True
scaffold,505,compact,229,12,0.0524017467248908,0.1910255534137971,0.5633640552995394,0.2,0.0475725144923614,0.3399644204834666,4.636307124979794,18177.0,True
scaffold,505,chemprop,229,12,0.0524017467248908,0.491406345472979,0.8671274961597543,0.25,0.035752954982468,0.753157489229332,103.31322495802306,414901.0,True
random,101,descriptor_mlp,229,12,0.0524017467248908,0.5880416839258302,0.8867127496159755,0.35,0.0344198423461427,0.5399742847958856,1.167217415990308,12929.0,
random,101,fusion_30,229,12,0.0524017467248908,0.6114488660910896,0.8774961597542242,0.35,0.0343139573994764,0.5609964833980903,4.492607125081122,30977.0,
random,101,fusion_60,229,12,0.0524017467248908,0.7152534833429143,0.9589093701996928,0.5,0.0256747724713096,0.7660936519727505,8.997203917009756,30977.0,
random,101,selected_blend,229,12,0.0524017467248908,0.7152534833429143,0.9589093701996928,0.5,0.0256747722597956,0.7660936519727505,,,
random,202,descriptor_mlp,229,12,0.0524017467248908,0.4478073443656956,0.8356374807987711,0.25,0.0388424881258593,0.6076990754698083,0.5282145420787856,12929.0,
random,202,fusion_30,229,12,0.0524017467248908,0.4193035268984636,0.7784178187403994,0.25,0.0403995600448245,0.6308294445280748,4.533002292038873,30977.0,
random,202,fusion_60,229,12,0.0524017467248908,0.5666193916827176,0.8237327188940093,0.4,0.0353740215523442,0.704165469606646,9.022937790956348,30977.0,
random,202,selected_blend,229,12,0.0524017467248908,0.5666193916827176,0.8237327188940093,0.4,0.0353740212105134,0.704165469606646,,,
random,303,descriptor_mlp,229,12,0.0524017467248908,0.56410218469042,0.9070660522273426,0.3,0.0338617127789009,0.3869476272158614,0.5330876669613644,12929.0,
random,303,fusion_30,229,12,0.0524017467248908,0.5296866354084537,0.8625192012288786,0.35,0.0372529871227209,0.3891528059356575,4.485969125060365,30977.0,
random,303,fusion_60,229,12,0.0524017467248908,0.6552504681507145,0.9669738863287248,0.5,0.032260991078734,0.4923784478349137,8.981136749964207,30977.0,
random,303,selected_blend,229,12,0.0524017467248908,0.7352917143592221,0.901689708141321,0.4,0.0234880524017467,0.6108860429693764,,,
random,404,descriptor_mlp,229,12,0.0524017467248908,0.556254421714948,0.922811059907834,0.4,0.0318476820015367,0.5331596890472209,0.529049750068225,12929.0,
